id,base,lahto,aika,gameId,eventId,firsttime,lukkari,opponent,team,runner,streamUrl,run_date,uploader,leagueId,free,juoksu,unix_time
1647,1,0.439997000000403,4.859997000000476,441,i3qnnlijioyp75s8,4672.475065000000000,"Emmi Hannuniemi",2012,2012,"Emmi Hannuniemi",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,4.420000000000073,1622653200
1648,3,0.899999999999636,6.159999999999855,441,jnb27dojxu97obr0,5873.145993000000000,"Mari Mantsinen",2005,2005,"Eeva Mäki-Maukola",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,5.260000000000219,1622653200
1649,3,1.459992000000057,6.559991999999966,441,fghlylgrp66yf8lk,1707.265737000000000,"Mari Mantsinen",2005,2005,"Venla Karttunen",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,5.099999999999909,1622653200
1650,3,1.560000000001310,6.480000000001382,441,rv79rpja6y3hq6nh,9912.306227000000000,"Mari Mantsinen",2005,2005,"Ella Korpela",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,4.920000000000072,1622653200
1653,1,0.259992999999895,4.399991000000000,441,o406th9gp98hfsk5,1051.012815000000000,"Emmi Hannuniemi",2012,2012,"Roosa Lappalainen",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,4.139998000000105,1622653200
1654,3,0.260000000000218,5.539999000000535,441,mhif7mym1udh5e4g,9711.402945000000000,"Mari Mantsinen",2005,2005,"Susanne Kohonen",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,5.279999000000317,1622653200
1655,2,0.299999000000298,4.319999000000280,441,sgoxfe5j1clh2gr9,2402.688475000000000,"Emmi Hannuniemi",2012,2012,"Pinja Kesti",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,4.019999999999982,1622653200
1656,2,0.179999999998472,3.920000000000073,441,i1gak6n2f6rlgepo,9630.922855000000000,"Mari Mantsinen",2005,2005,"Susanne Kohonen",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,3.740000000001601,1622653200
1657,1,0.339998999999807,4.399997999999869,441,o8daa58e36jhq97e,1498.863925000000000,"Mari Mantsinen",2005,2005,"Ella Korpela",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,4.059999000000062,1622653200
1658,3,0.159994999999981,5.339995000000272,441,i6c3bee42s35jj5d,8864.175656000000000,"Mari Mantsinen",2005,2005,"Ella Korpela",https://dpe7aw9wpk40m.cloudfront.net/c847b487-3df6-4df4-b4a7,"2021-06-02 17:00:00",aaro.korpijarvi@gmail.com,2,NULL,5.180000000000291,1622653200
